,PLAYER_ID,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP_x,PTS_x,REB_x,AST_x,STL_x,BLK_x,GP_y,PTS_y,REB_y,AST_y,STL_y,BLK_y,GAME_DATE,2021-22
0,1630173,Precious Achiuwa,Raptors,Forward,6-8,225,Nigeria,1999-09-19T00:00:00,1,20,134,7.2,5.1,0.8,0.4,0.5,134,7.2,5.1,0.8,0.4,0.5,APR 23 2022,"$2,711,280"
1,203500,Steven Adams,Grizzlies,Center,6-11,265,New Zealand,1993-07-20T00:00:00,8,12,664,9.3,8.0,1.5,0.9,0.9,664,9.3,8.0,1.5,0.9,0.9,APR 21 2022,"$17,073,171"
2,1628389,Bam Adebayo,Heat,Center-Forward,6-9,255,USA,1997-07-18T00:00:00,4,14,343,13.5,8.3,3.5,1.0,0.9,343,13.5,8.3,3.5,1.0,0.9,APR 22 2022,"$28,103,550"
3,1630583,Santi Aldama,Grizzlies,Forward-Center,6-11,215,Spain,2001-01-10T00:00:00,0,30,32,4.1,2.7,0.7,0.2,0.3,32,4.1,2.7,0.7,0.2,0.3,APR 21 2022,"$1,994,520"
4,200746,LaMarcus Aldridge,Nets,Center-Forward,6-11,250,USA,1985-07-19T00:00:00,15,2,1076,19.1,8.1,1.9,0.7,1.1,1076,19.1,8.1,1.9,0.7,1.1,APR 23 2022,"$2,641,691"
5,1629638,Nickeil Alexander-Walker,Jazz,Guard,6-5,205,Canada,1998-09-02T00:00:00,2,17,158,9.3,2.6,2.2,0.7,0.3,158,9.3,2.6,2.2,0.7,0.3,APR 21 2022,"$3,261,480"
6,1628960,Grayson Allen,Bucks,Guard,6-4,198,USA,1995-10-08T00:00:00,3,21,192,9.4,2.6,1.5,0.6,0.2,192,9.4,2.6,1.5,0.6,0.2,APR 22 2022,"$4,054,695"
7,1628386,Jarrett Allen,Cavaliers,Center,6-10,243,USA,1998-04-21T00:00:00,4,22,341,11.6,8.7,1.4,0.5,1.4,341,11.6,8.7,1.4,0.5,1.4,,"$20,000,000"
8,1630631,Jose Alvarado,Pelicans,Guard,6-0,179,USA,1998-04-12T00:00:00,0,Undrafted,54,6.1,1.9,2.8,1.3,0.1,54,6.1,1.9,2.8,1.3,0.1,APR 22 2022,"$1,500,000"
9,203937,Kyle Anderson,Grizzlies,Forward-Guard,6-9,230,USA,1993-09-20T00:00:00,7,30,505,6.7,4.4,2.3,1.0,0.6,505,6.7,4.4,2.3,1.0,0.6,APR 21 2022,"$9,937,150"
